Start training, lr =  0.000010
Epoch 1, loss 23.128807
Epoch 2, loss 7.824872
Epoch 3, loss 7.084239
Epoch 4, loss 6.348395
Epoch 5, loss 5.957339
Epoch 6, loss 5.688992
Epoch 7, loss 5.507178
Epoch 8, loss 5.344676
Epoch 9, loss 5.224985
Epoch 10, loss 5.122834
Epoch 11, loss 5.027854
Epoch 12, loss 4.936459
Epoch 13, loss 4.854971
Epoch 14, loss 4.787605
Epoch 15, loss 4.722185
Epoch 16, loss 4.660925
Epoch 17, loss 4.603173
Epoch 18, loss 4.549833
Epoch 19, loss 4.498821
Epoch 20, loss 4.450330
